SYMBOL,EXPIRY_DT,TRADE_DATE,OPEN,HIGH,LOW,CMP,CASH_CHG,INDX_GRP,INDX_WTG,PUT_INT,CALL_INT,COMB_INT,CALL_LOW,CALL_HIGH,PUT_HIGH,PUT_LOW,UNUSED_PC,UNUSED_PC_REV,TREND_PRICE1,TREND_PRICE2,CALL_OI,PUT_OI,CALL_DIFF,PUT_DIFF,COMB_DIFF 
DABUR,2025-08-28,2025-06-13,468.0,470.05,464.25,0,0,,0,0,0,0,0,0,0,0,0,0,580,580,0,0,0,0,0
DALBHARAT,2025-06-26,2025-05-30,2046.1,2048.7,2007.7,2016.8,-29,,0,1992.88,2108.71,2019.07,2030.64,2188.54,2029.39,1891.25,1.04,0.96,2023.28,2021.21,278025,208175,2140,1884,2019.07
DALBHARAT,2025-06-26,2025-06-02,2016.4,2084.8,2011.6,2070.1,53,,0,1994.49,2113.87,2048.27,2050.52,2168.82,2048.99,1930.85,0.58,1.71,2059.78,2095.24,373175,302775,2149.19,1970.48,2048.27
DALBHARAT,2025-06-26,2025-06-03,2070.6,2084.0,2046.1,2051,-19,,0,2003.67,2111.55,2069.9,2070.76,2188.83,2089.32,1930.65,0.97,1.03,2083.1,2088.21,393525,340450,2214.55,1841.54,2069.9
DALBHARAT,2025-06-26,2025-06-04,2062.0,2066.6,2044.7,2055,4,,0,2005,2111.4,2070.27,2070.76,2188.89,2089.44,1930.64,0.92,1.08,2081.83,2091.04,408375,353100,2223.13,1851.43,2070.27
DALBHARAT,2025-06-26,2025-06-05,2050.0,2098.9,2050.0,2093.9,39,,0,1999.1,2112.21,2072.83,2070.55,2188.92,2089.4,1931.1,0.56,1.79,2086.21,2111.86,434225,380325,2194.69,1934.67,2072.83
DALBHARAT,2025-06-26,2025-06-06,2100.0,2119.5,2084.0,2113.3,19,,0,2014.53,2123.91,2071.15,2092.89,2188.96,2109.34,1950.52,0.26,3.86,2096.05,2143.37,562650,292050,2137.46,0,2071.15
DALBHARAT,2025-06-26,2025-06-09,2100.0,2125.0,2073.0,2125,12,,0,2037.41,2127.05,2082.4,2092.65,2208.79,2108.75,1970.69,0.28,3.62,2095.97,2139.92,581625,322575,0,0,2082.4
DALBHARAT,2025-06-26,2025-06-10,2125.0,2172.1,2120.0,2161.1,36,,0,2080.76,2155.8,2093.22,2091.85,2207.71,2128.64,1991.69,0.19,5.22,2098.67,2177,602250,367675,0,0,2093.22
DALBHARAT,2025-06-26,2025-06-11,2175.0,2176.0,2113.2,2135,-26,,0,2084.77,2161.91,2099.05,2091.63,2229.3,2128.32,1991.42,0.3,3.29,2102.38,2156.89,620675,407550,2324.07,0,2099.05
DALBHARAT,2025-06-26,2025-06-12,2149.9,2152.6,2098.3,2100,-35,,0,2082.66,2152.13,2096.67,2091.72,2207.73,2128.29,1991.49,0.6,1.65,2100.96,2118.68,623700,398750,2288.77,0,2096.67
DALBHARAT,2025-06-26,2025-06-13,2098.0,2107.5,2066.0,2085.9,-14,,0,2057.39,2147.16,2088.62,2091.78,2207.82,2128.94,1991.93,0.7,1.43,2094.6,2109.66,600875,357775,0,0,2088.62
DALBHARAT,2025-07-31,2025-05-30,2046.1,2048.7,2007.7,0,0,,0,0,0,0,0,0,0,0,0,0,2400,2400,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-02,2016.4,2084.8,2011.6,0,0,,0,0,0,0,0,0,0,0,0,0,2240,2240,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-03,2070.6,2084.0,2046.1,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-04,2062.0,2066.6,2044.7,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-05,2050.0,2098.9,2050.0,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-06,2100.0,2119.5,2084.0,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-09,2100.0,2125.0,2073.0,0,0,,0,0,0,0,0,0,0,0,0,0,2086.59,2360,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-10,2125.0,2172.1,2120.0,0,0,,0,0,0,0,0,0,0,0,0,0,2180.21,2360,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-11,2175.0,2176.0,2113.2,0,0,,0,0,0,0,0,0,0,0,0,0,2180.21,2400,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-12,2149.9,2152.6,2098.3,0,0,,0,0,0,0,0,0,0,0,0,0,2180.21,2400,0,0,0,0,0
DALBHARAT,2025-07-31,2025-06-13,2098.0,2107.5,2066.0,0,0,,0,0,0,0,0,0,0,0,0,0,2180.21,2400,0,0,0,0,0
DALBHARAT,2025-08-28,2025-05-30,2046.1,2048.7,2007.7,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-02,2016.4,2084.8,2011.6,0,0,,0,0,0,0,0,0,0,0,0,0,2240,2240,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-03,2070.6,2084.0,2046.1,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-04,2062.0,2066.6,2044.7,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-05,2050.0,2098.9,2050.0,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-06,2100.0,2119.5,2084.0,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-09,2100.0,2125.0,2073.0,0,0,,0,0,0,0,0,0,0,0,0,0,2320,2320,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-10,2125.0,2172.1,2120.0,0,0,,0,0,0,0,0,0,0,0,0,0,2400,2400,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-11,2175.0,2176.0,2113.2,0,0,,0,0,0,0,0,0,0,0,0,0,2400,2400,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-12,2149.9,2152.6,2098.3,0,0,,0,0,0,0,0,0,0,0,0,0,2400,2400,0,0,0,0,0
DALBHARAT,2025-08-28,2025-06-13,2098.0,2107.5,2066.0,0,0,,0,0,0,0,0,0,0,0,0,0,2400,2400,0,0,0,0,0
DELHIVERY,2025-06-26,2025-05-30,361.75,373.55,356.9,358.55,-2,,0,0,0,0,0,0,0,0,0.58,1.73,0,0,4125125,2191425,0,0,0
DELHIVERY,2025-06-26,2025-06-02,358.1,369.8,354.75,365.75,7,,0,0,0,0,0,0,0,0,0.42,2.39,0,0,4112925,2682475,0,0,0
DELHIVERY,2025-06-26,2025-06-03,368.7,375.7,367.15,368,2,,0,0,0,0,0,0,0,0,0.42,2.35,0,0,4840350,3129300,0,0,0
DELHIVERY,2025-06-26,2025-06-04,369.1,370.0,362.7,369.4,1,,0,0,0,0,0,0,0,0,0.44,2.3,0,0,5424425,3429725,0,0,0
DELHIVERY,2025-06-26,2025-06-05,369.95,374.7,368.05,370,1,,0,0,0,0,0,0,0,0,0.48,2.09,0,0,5674525,3688975,0,0,0
DELHIVERY,2025-06-26,2025-06-06,370.25,373.75,365.0,367,-3,,0,0,0,0,0,0,0,0,0.58,1.73,0,0,5817875,3757600,0,0,0
DELHIVERY,2025-06-26,2025-06-09,367.05,377.0,366.1,372,5,,0,0,0,0,0,0,0,0,0.4,2.51,0,0,6215900,3891800,0,0,0
DELHIVERY,2025-06-26,2025-06-10,373.0,374.65,365.6,366,-6,,0,0,0,0,0,0,0,0,0.65,1.53,0,0,6882325,4396575,0,0,0
DELHIVERY,2025-06-26,2025-06-11,367.0,370.0,361.6,364.85,-1,,0,0,0,0,0,0,0,0,0.74,1.36,0,0,6763375,4457575,0,0,0
